product;D+2;D+3;D+4;TOTAL
PEBBLES_XL;7393.0;10581.0;15574.0;33548.0
PANEL_1X4;15252.0;3492.0;5811.5;24555.5
PEBBLES_S;10774.0;1972.0;8959.0;21705.0
OXYGEN_SHAKE_CHOCOLATE;11076.0;4631.0;5712.0;21419.0
GALAXY_SOUNDS_BLACK_HOLES;-3203.0;7870.0;14342.5;19009.5
TRANSLATOR_ECLIPSE_CHARCOAL;14476.0;-2276.5;6258.5;18458.0
OXYGEN_SHAKE_EVENING_BREATH;-60.0;9661.0;8701.0;18302.0
SLEEP_POD_POLYESTER;6009.0;9055.5;2941.5;18006.0
GALAXY_SOUNDS_PLANETARY_RINGS;21836.0;-1851.5;-2223.5;17761.0
PANEL_2X4;2388.0;8899.0;6072.5;17359.5
TRANSLATOR_VOID_BLUE;9734.0;-3398.5;10928.0;17263.5
OXYGEN_SHAKE_MORNING_BREATH;4103.0;5244.0;6168.5;15515.5
OXYGEN_SHAKE_GARLIC;-3385.0;6154.5;12078.0;14847.5
UV_VISOR_ORANGE;4903.0;2519.5;6965.5;14388.0
SNACKPACK_CHOCOLATE;2583.0;7244.5;3297.0;13124.5
SLEEP_POD_NYLON;-449.0;8357.5;5172.5;13081.0
ROBOT_IRONING;12107.0;-1873.0;2735.0;12969.0
GALAXY_SOUNDS_DARK_MATTER;3829.0;6665.0;1924.5;12418.5
MICROCHIP_OVAL;5584.0;8159.5;-1629.0;12114.5
MICROCHIP_CIRCLE;-539.0;325.0;12313.0;12099.0
SNACKPACK_PISTACHIO;3050.0;5746.0;1428.0;10224.0
SLEEP_POD_SUEDE;12879.0;-63.0;-2946.5;9869.5
UV_VISOR_AMBER;3882.0;-2289.0;8213.0;9806.0
SNACKPACK_RASPBERRY;3859.0;1016.5;4780.5;9656.0
MICROCHIP_TRIANGLE;4102.0;-506.0;5143.0;8739.0
SNACKPACK_STRAWBERRY;1597.0;4675.0;2377.5;8649.5
UV_VISOR_RED;-2578.0;10535.0;-817.5;7139.5
MICROCHIP_SQUARE;5308.0;-3363.0;5079.0;7024.0
ROBOT_DISHES;7749.0;3163.5;-5201.0;5711.5
TRANSLATOR_ASTRO_BLACK;3432.0;-1291.0;2664.5;4805.5
UV_VISOR_YELLOW;3498.0;3349.5;-2118.0;4729.5
ROBOT_LAUNDRY;-1266.0;-254.5;4989.5;3469.0
SLEEP_POD_COTTON;2643.0;-8344.0;8809.0;3108.0
MICROCHIP_RECTANGLE;9368.0;5268.0;-11915.0;2721.0
SNACKPACK_VANILLA;1939.0;-1610.5;2045.0;2373.5
PANEL_2X2;6120.0;-3945.0;138.0;2313.0
GALAXY_SOUNDS_SOLAR_WINDS;-8775.0;7076.0;3916.5;2217.5
ROBOT_MOPPING;-6990.0;-2415.0;10537.5;1132.5
UV_VISOR_MAGENTA;9791.0;-9353.5;362.5;800.0
PEBBLES_M;2463.0;4644.0;-9390.0;-2283.0
TRANSLATOR_GRAPHITE_MIST;-3480.0;2757.0;-2576.5;-3299.5
OXYGEN_SHAKE_MINT;-267.0;-1714.0;-1365.0;-3346.0
GALAXY_SOUNDS_SOLAR_FLAMES;-5281.0;1682.0;228.0;-3371.0
ROBOT_VACUUMING;-285.0;-7598.0;369.0;-7514.0
PEBBLES_XS;6403.0;-9395.0;-4760.0;-7752.0
PANEL_1X2;-6840.0;-5068.5;3092.0;-8816.5
PEBBLES_L;-16366.0;4404.0;446.0;-11516.0
PANEL_4X4;-3942.0;-5099.5;-2978.5;-12020.0
TRANSLATOR_SPACE_GRAY;5507.0;-6380.0;-12641.0;-13514.0
SLEEP_POD_LAMB_WOOL;-15552.0;-9551.5;-3403.0;-28506.5
TOTAL;146379.0;67507.0;136608.5;350494.5
