product	D+2	D+3	D+4	TOTAL
PEBBLES_S	6796.0	2268.0	8114.0	17178.0
GALAXY_SOUNDS_BLACK_HOLES	-1156.0	4056.0	8892.5	11792.5
SNACKPACK_RASPBERRY	3985.0	4272.5	1898.5	10156.0
OXYGEN_SHAKE_EVENING_BREATH	2174.0	2759.0	4428.0	9361.0
SLEEP_POD_COTTON	5246.0	108.0	3968.0	9322.0
GALAXY_SOUNDS_SOLAR_WINDS	-3204.0	5034.0	7008.5	8838.5
UV_VISOR_AMBER	3635.0	566.0	3658.0	7859.0
SNACKPACK_CHOCOLATE	2602.0	2460.5	2731.0	7793.5
OXYGEN_SHAKE_CHOCOLATE	1216.0	4071.0	2350.0	7637.0
UV_VISOR_ORANGE	3913.0	582.5	3133.5	7629.0
MICROCHIP_SQUARE	599.0	7597.0	-993.0	7203.0
ROBOT_LAUNDRY	1525.0	1675.5	3916.0	7116.5
SNACKPACK_VANILLA	2269.0	2765.5	1934.0	6968.5
OXYGEN_SHAKE_GARLIC	2956.5	2516.5	1222.0	6695.0
PANEL_2X4	2436.0	2135.0	2031.5	6602.5
GALAXY_SOUNDS_PLANETARY_RINGS	6003.0	504.5	-14.5	6493.0
SLEEP_POD_SUEDE	5084.0	2564.0	-1348.0	6300.0
TRANSLATOR_ASTRO_BLACK	1235.0	1657.0	3372.0	6264.0
PEBBLES_L	750.0	6096.0	-658.0	6188.0
SLEEP_POD_POLYESTER	2028.0	2420.5	1577.5	6026.0
PEBBLES_XL	-402.0	4457.0	1928.0	5983.0
TRANSLATOR_GRAPHITE_MIST	836.5	1179.0	3966.5	5982.0
UV_VISOR_YELLOW	1655.5	2056.5	1624.0	5336.0
MICROCHIP_CIRCLE	469.0	-879.0	5692.0	5282.0
SNACKPACK_PISTACHIO	1505.0	1528.0	2124.0	5157.0
PANEL_2X2	2407.5	1738.0	844.0	4989.5
OXYGEN_SHAKE_MORNING_BREATH	1297.5	143.0	3089.0	4529.5
PANEL_1X4	2581.0	512.0	1406.5	4499.5
TRANSLATOR_VOID_BLUE	683.0	1942.5	1471.0	4096.5
UV_VISOR_RED	-23.0	2062.0	2015.0	4054.0
TRANSLATOR_ECLIPSE_CHARCOAL	6812.5	-3220.5	347.0	3939.0
SNACKPACK_STRAWBERRY	1224.0	749.0	1523.5	3496.5
SLEEP_POD_NYLON	-758.0	1731.5	2174.0	3147.5
GALAXY_SOUNDS_DARK_MATTER	137.0	-729.0	3120.5	2528.5
ROBOT_VACUUMING	-237.0	1657.0	893.0	2313.0
TRANSLATOR_SPACE_GRAY	5050.0	1290.0	-4173.0	2167.0
GALAXY_SOUNDS_SOLAR_FLAMES	-2317.5	3666.0	817.0	2165.5
PEBBLES_XS	1823.0	-649.0	852.0	2026.0
MICROCHIP_RECTANGLE	4899.5	1008.0	-4171.0	1736.5
OXYGEN_SHAKE_MINT	-1052.0	1227.0	1533.0	1708.0
ROBOT_DISHES	523.0	3565.5	-2918.0	1170.5
MICROCHIP_OVAL	-690.0	-297.0	1922.0	935.0
UV_VISOR_MAGENTA	2281.0	-1049.5	-1810.0	-578.5
ROBOT_IRONING	898.0	-950.0	-1699.0	-1751.0
PANEL_4X4	-3810.0	6.5	1629.0	-2174.5
MICROCHIP_TRIANGLE	-3920.0	-4546.0	6134.5	-2331.5
PANEL_1X2	-1254.0	-1558.5	129.0	-2683.5
ROBOT_MOPPING	-1607.5	-2235.0	717.5	-3125.0
SLEEP_POD_LAMB_WOOL	-4126.5	-4000.5	-247.0	-8374.0
PEBBLES_M	771.0	-4622.0	-5562.0	-9413.0
TOTAL	65749.0	61891.5	82593.5	210234.0
