./.local-home/.cargo/bin/cargo run -- --trader traders/rw.py  --products full    --dataset round5
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.14s
     Running `.cargo-target/debug/rust_backtester --trader traders/rw.py --products full --dataset round5`
trader: rw.py
dataset: round5
mode: fast
artifacts: log-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        9181    160764.50  runs/backtest-1777529721063-round5-day+2
D+3               3    10000       11495     59414.00  runs/backtest-1777529721063-round5-day+3
D+4               4    10000       10305    125703.00  runs/backtest-1777529721063-round5-day+4
TOTAL             -    30000       30981    345881.50  -

PRODUCT                              D+2        D+3        D+4      TOTAL
GALAXY_SOUNDS_BLACK_HOLES         259.00   12871.00   13771.50   26901.50
GALAXY_SOUNDS_DARK_MATTER        3744.00    5188.00    3044.50   11976.50
GALAXY_SOUNDS_PLANETARY_RINGS   21188.00   -4143.50   -1932.00   15112.50
GALAXY_SOUNDS_SOLAR_FLAMES      -5385.00    2248.00    1315.00   -1822.00
GALAXY_SOUNDS_SOLAR_WINDS       -8813.00    4020.00    3966.50    -826.50
MICROCHIP_CIRCLE                -1207.00   -1532.00   10277.00    7538.00
MICROCHIP_OVAL                   4889.00    6455.50   -5693.00    5651.50
MICROCHIP_RECTANGLE              9237.50    3134.00   -4794.00    7577.50
MICROCHIP_SQUARE                  581.50   -3182.00    3944.00    1343.50
MICROCHIP_TRIANGLE               4126.00   -2234.00    4060.00    5952.00
OXYGEN_SHAKE_CHOCOLATE          11012.00    5034.00    6924.00   22970.00
OXYGEN_SHAKE_EVENING_BREATH      -862.00    8095.00    7765.00   14998.00
OXYGEN_SHAKE_GARLIC             -2478.00    4899.50   10934.00   13355.50
OXYGEN_SHAKE_MINT                 275.00   -2506.00   -1747.00   -3978.00
OXYGEN_SHAKE_MORNING_BREATH      5029.00    9770.00    5467.50   20266.50
PANEL_1X2                       -6403.00   -3806.50    2096.00   -8113.50
PANEL_1X4                       15026.00    3821.00    2457.50   21304.50
PANEL_2X2                        5084.00   -6067.00    -138.00   -1121.00
PANEL_2X4                        1586.00    6054.00    6334.50   13974.50
PANEL_4X4                       -3467.00   -3381.50   -2500.50   -9349.00
PEBBLES_L                      -11635.00    3472.00    1004.00   -7159.00
PEBBLES_M                        2696.00    8010.00   -8110.00    2596.00
PEBBLES_S                       12512.00    5270.00    3474.00   21256.00
PEBBLES_XL                      10369.00    7824.00   17167.00   35360.00
PEBBLES_XS                       7791.00   -8580.00   -5267.00   -6056.00
ROBOT_DISHES                     8221.00    4384.50   -5601.00    7004.50
ROBOT_IRONING                   12936.00   -3592.00    1698.00   11042.00
ROBOT_LAUNDRY                    -733.00   -1358.50    3192.00    1100.50
ROBOT_MOPPING                   -4358.00   -5879.00    9055.50   -1181.50
ROBOT_VACUUMING                 -1071.00   -3592.00     -59.00   -4722.00
SLEEP_POD_COTTON                 6830.00   -5872.00    9540.00   10498.00
SLEEP_POD_LAMB_WOOL            -17042.00   -9701.50   -1551.00  -28294.50
SLEEP_POD_NYLON                  -617.00    5879.50    4000.50    9263.00
SLEEP_POD_POLYESTER              7801.00    9059.50    2807.50   19668.00
SLEEP_POD_SUEDE                 11918.00   -2337.00    -996.50    8584.50
SNACKPACK_CHOCOLATE              2607.00    6696.50    2210.00   11513.50
SNACKPACK_PISTACHIO              3311.00    5407.00    2054.00   10772.00
SNACKPACK_RASPBERRY              3219.00    1537.50    3637.50    8394.00
SNACKPACK_STRAWBERRY             2108.00    3580.00    3196.50    8884.50
SNACKPACK_VANILLA                1901.00   -1380.50    3080.00    3600.50
TRANSLATOR_ASTRO_BLACK           3823.00    1247.00    4529.50    9599.50
TRANSLATOR_ECLIPSE_CHARCOAL     14202.00   -1911.50    6172.50   18463.00
TRANSLATOR_GRAPHITE_MIST        -4312.50    1749.00   -1342.00   -3905.50
TRANSLATOR_SPACE_GRAY            5942.00   -5946.00  -10607.00  -10611.00
TRANSLATOR_VOID_BLUE             8765.00   -2408.50   10962.00   17318.50
UV_VISOR_AMBER                   2443.00   -2851.00    2076.00    1668.00
UV_VISOR_MAGENTA                11718.00   -8247.50    -571.50    2899.00
UV_VISOR_ORANGE                  4544.00     359.50    7355.50   12259.00
UV_VISOR_RED                    -1886.00    8584.00     173.50    6871.50
UV_VISOR_YELLOW                  3340.00    5273.50   -3130.00    5483.50
