./.local-home/.cargo/bin/cargo run -- --trader traders/rw.py  --products full    --dataset round5
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.16s
     Running `.cargo-target/debug/rust_backtester --trader traders/rw.py --products full --dataset round5`
trader: rw.py
dataset: round5
mode: fast
artifacts: log-only
SET             DAY    TICKS  OWN_TRADES    FINAL_PNL  RUN_DIR
D+2               2    10000        7500     54769.00  runs/backtest-1777532271943-round5-day+2
D+3               3    10000        8884     64012.00  runs/backtest-1777532271943-round5-day+3
D+4               4    10000        7705     71418.00  runs/backtest-1777532271943-round5-day+4
TOTAL             -    30000       24089    190199.00  -

PRODUCT                              D+2        D+3        D+4      TOTAL
GALAXY_SOUNDS_BLACK_HOLES       -1016.00    5627.00    5664.00   10275.00
GALAXY_SOUNDS_DARK_MATTER        -140.00    -397.00    1847.00    1310.00
GALAXY_SOUNDS_PLANETARY_RINGS    4523.00    -690.50     571.00    4403.50
GALAXY_SOUNDS_SOLAR_FLAMES      -1565.00    3170.00    2670.00    4275.00
GALAXY_SOUNDS_SOLAR_WINDS        -700.00    3300.00    6794.00    9394.00
MICROCHIP_CIRCLE                  853.00    -141.00    3021.00    3733.00
MICROCHIP_OVAL                  -1004.00     826.50    2720.00    2542.50
MICROCHIP_RECTANGLE              2022.00    1099.00   -1598.00    1523.00
MICROCHIP_SQUARE                 3078.00    5043.00   -2551.00    5570.00
MICROCHIP_TRIANGLE               -485.00   -3351.00    5029.00    1193.00
OXYGEN_SHAKE_CHOCOLATE           1149.00    2656.00    2955.00    6760.00
OXYGEN_SHAKE_EVENING_BREATH       824.00    2148.00    3476.00    6448.00
OXYGEN_SHAKE_GARLIC              2641.00    4169.50    1519.00    8329.50
OXYGEN_SHAKE_MINT               -1995.00     644.00    1843.00     492.00
OXYGEN_SHAKE_MORNING_BREATH      1032.00     224.00     944.00    2200.00
PANEL_1X2                        -109.00     143.50     113.00     147.50
PANEL_1X4                         321.00     685.00     968.00    1974.00
PANEL_2X2                        1396.00     813.00    1114.00    3323.00
PANEL_2X4                        4112.00    1230.00    1033.00    6375.00
PANEL_4X4                       -2590.00     933.50    1875.00     218.50
PEBBLES_L                        1400.00    5109.00   -3665.00    2844.00
PEBBLES_M                         902.00     224.00   -4893.00   -3767.00
PEBBLES_S                        4347.00   -1454.00    3452.00    6345.00
PEBBLES_XL                        935.00    6001.00    9290.00   16226.00
PEBBLES_XS                          7.00    -676.00    3443.00    2774.00
ROBOT_DISHES                    -1019.00     442.50   -2717.00   -3293.50
ROBOT_IRONING                    -501.00    -153.00   -1842.00   -2496.00
ROBOT_LAUNDRY                    1516.00    1169.50    2483.00    5168.50
ROBOT_MOPPING                    -767.00     114.00    1376.00     723.00
ROBOT_VACUUMING                  1309.00    1282.00      57.00    2648.00
SLEEP_POD_COTTON                 2227.00     488.00    2995.00    5710.00
SLEEP_POD_LAMB_WOOL             -3297.00   -1654.50   -1382.00   -6333.50
SLEEP_POD_NYLON                 -1777.00    1411.50    2000.00    1634.50
SLEEP_POD_POLYESTER               957.00    2627.50    2006.00    5590.50
SLEEP_POD_SUEDE                  4220.00     818.00     831.00    5869.00
SNACKPACK_CHOCOLATE              2294.00    1384.50    2816.00    6494.50
SNACKPACK_PISTACHIO              1207.00     846.00    1913.00    3966.00
SNACKPACK_RASPBERRY              3597.00    4546.50    2337.00   10480.50
SNACKPACK_STRAWBERRY              462.00    -141.00    1913.00    2234.00
SNACKPACK_VANILLA                1354.00    3354.50    1296.00    6004.50
TRANSLATOR_ASTRO_BLACK           1850.00    1018.00    2150.00    5018.00
TRANSLATOR_ECLIPSE_CHARCOAL      3296.00    -511.50     523.00    3307.50
TRANSLATOR_GRAPHITE_MIST          545.00    2331.00    3156.00    6032.00
TRANSLATOR_SPACE_GRAY            3142.00    1242.00   -1299.00    3085.00
TRANSLATOR_VOID_BLUE             1674.00    2961.50   -1325.00    3310.50
UV_VISOR_AMBER                   3608.00     445.00    2244.00    6297.00
UV_VISOR_MAGENTA                 1838.00    -130.50   -2065.00    -357.50
UV_VISOR_ORANGE                  3267.00     679.50     916.00    4862.50
UV_VISOR_RED                      446.00     766.00    2067.00    3279.00
UV_VISOR_YELLOW                  3383.00    1338.50    1335.00    6056.50
